# Chunk-averaged data for fix 55 and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number vx temp
30000 70 52599
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 6.96 8.27586e-05 -0.18048 1014.29
  48 2.5 1816.84 0.0216033 0.251048 970.769
  49 3.5 2989.8 0.0355505 0.256908 956.777
  50 4.5 1978.4 0.0235244 0.305733 952.271
  51 5.5 2374.22 0.0282309 0.318804 950.532
  52 6.5 2464.4 0.0293032 0.311267 943.677
  53 7.5 2301.46 0.0273658 0.322063 938.55
  54 8.5 2411.26 0.0286713 0.353047 935.837
  55 9.5 2378.94 0.028287 0.386412 935.292
  56 10.5 2387.02 0.0283831 0.347286 930.29
  57 11.5 2397.04 0.0285023 0.336422 926.553
  58 12.5 2386.78 0.0283803 0.345798 926.503
  59 13.5 2379.58 0.0282946 0.350693 924.187
  60 14.5 2416.94 0.0287389 0.322332 926.66
  61 15.5 2387.18 0.028385 0.339252 925.96
  62 16.5 2372 0.0282045 0.31363 923.038
  63 17.5 2431 0.0289061 0.354533 928.959
  64 18.5 2311.96 0.0274906 0.331529 930.438
  65 19.5 2387.38 0.0283874 0.315481 938.684
  66 20.5 2539.58 0.0301971 0.34825 942.024
  67 21.5 1951.04 0.023199 0.367863 945.299
  68 22.5 2597.96 0.0308913 0.290696 951.099
  69 23.5 2851.22 0.0339027 0.288349 958.575
  70 24.5 80.04 0.000951724 0.232208 968.988
60000 70 52599
  1 -44.5 0 0 0 0
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
